,제목,별점,사람,기타정보,상영시간
473,동물원 인터뷰,3.7,206,['1990 ・ 애니메이션 ・ 영국'],5분
474,,0,0,[],
475,,0,0,[],
476,,0,0,[],
477,,0,0,[],
478,헨리,4.0,1,['2011 ・ 드라마 ・ 캐나다'],21분
481,큐,1.9,149,['1997 ・ 드라마 ・ 한국'],1시간 47분
482,야간 비행,3.6,7,['1997 ・ 드라마 ・ 영국'],1시간 26분
484,포세이돈 어드벤쳐,3.7,1만,['1972 ・ 재난 ・ 미국'],1시간 57분
487,영웅본색 2,3.9,7만,['1987 ・ 액션 ・ 홍콩'],
488,19번째 남자,3.2,"1,163",['1988 ・ 스포츠 ・ 미국'],1시간 45분
490,세가지 약속,3.8,12,['1959 ・ 판타지 ・ 미국'],1시간 33분
491,헤라클레스,3.5,4만,['1997 ・ 애니메이션 ・ 미국'],1시간 32분
495,트러블 메이커,0,0,['1994 ・ 독일 ・ 이탈리아 ・ 미국'],1시간 42분
496,죽음의 날,3.4,"1,088",['1985 ・ 공포 ・ 미국'],
499,덤 앤 더머,3.6,10만,['1994 ・ 코미디 ・ 미국'],
500,마법 고양이 펠릭스,3.3,27,['1919 ・ 애니메이션 ・ 미국'],
501,,0,0,[],
502,부부 일기,3.8,"1,500",['1992 ・ 코미디 ・ 미국'],
504,이집트,3.5,10,['1954 ・ 드라마 ・ 미국'],2시간 19분
507,마젠타의 숲,0,0,['1997 ・ 드라마 ・ 미국'],1시간 31분
513,8인의 승객,2.8,4,['1954 ・ 스릴러 ・ 영국'],
514,스노위 맨 2,2.8,2,['1988 ・ 드라마 ・ 호주'],1시간 50분
516,드라큐라,3.6,3만,['1992 ・ 공포 ・ 미국'],
518,광부의 딸,3.5,120,['1980 ・ 드라마 ・ 미국'],2시간 5분
519,리썰 웨폰 2,3.5,3만,['1989 ・ 액션 ・ 미국'],1시간 53분
521,헨리 8세,2.1,5,['1973 ・ 드라마 ・ 영국'],
534,에프 엑스,3.4,722,['1986 ・ 액션 ・ 미국'],
536,,0,0,[],
553,기니어 피그 2 - 혈육의 꽃,2.3,"1,707",['1985 ・ 공포 ・ 일본'],45분
555,,0,0,[],
556,아나콘다,3.1,9만,['1997 ・ 액션 ・ 미국'],
562,아틀란틱의 꿈,3.1,11,['1991 ・ 로맨스 ・ 미국'],
564,쿄코와 슈이치의 경우,2.8,40,['2013 ・ 드라마 ・ 일본'],2시간 16분
566,프리실라,3.6,"1,278",['1994 ・ 코미디 ・ 호주'],1시간 44분
571,리썰 웨폰,3.7,3만,['1987 ・ 액션 ・ 미국'],1시간 52분
572,싸이코 4,2.4,38,['1991 ・ 공포 ・ 미국'],
573,허비 - 몬테카를로에 가다,2.9,10,['1977 ・ 미국'],
578,The Stand,0,0,['1994 ・ 드라마 ・ 미국'],
579,생매장 2,2.6,11,['1997 ・ 미국'],1시간 35분
583,동승,2.5,367,['2002 ・ 드라마 ・ 한국'],1시간 40분
585,마돈나의 수잔을 찾아서,3.3,235,['1985 ・ 범죄 ・ 미국'],1시간 44분
586,비호웅사지극도전사,0,0,['1994 ・ 홍콩'],
587,"Rob Roy, The Highland Rogue",0,0,['1954 ・ 액션 ・ 미국 ・ 영국'],1시간 22분
588,,0,0,[],
590,아라비아의 로렌스 2,4.1,13,['1990 ・ 드라마 ・ 영국'],1시간 47분
598,매드니스,3.6,"6,951",['1995 ・ 공포 ・ 미국'],1시간 35분
599,나인 먼쓰,2.8,"1,042",['1995 ・ 코미디 ・ 미국'],1시간 43분
601,마이 히어로,3.0,9,['1995 ・ 드라마 ・ 미국'],1시간 33분
604,하우스 오브 스피리트,3.5,728,['1993 ・ 로맨스 ・ 독일 ・ 덴마크 ・ 포르투갈'],
606,,0,0,[],
607,썸타임 데이 컴 백 2,3.1,14,['1996 ・ 미국'],1시간 36분
612,,0,0,[],
614,캐나다 평원,3.7,3,['1949 ・ 미국'],1시간 35분
620,퍼펙트 블루,3.8,2만,['1998 ・ 미스터리 ・ 일본'],1시간 21분
625,스윙 재즈,3.5,359,['1993 ・ 미국'],1시간 52분
627,우정의 마이애미,2.0,2,['1978 ・ 코미디 ・ 미국'],
