제목,개봉일,국가,장르,별점,네티즌수
라이어 게임 : 더 파이널 스테이지,2010-03-06,일본,스릴러/미스터리,8.9,68
흙,,"인도, 캐나다",로맨스/멜로/전쟁,10.0,1
은밀한 온천,,일본,성인,10.0,1
돌아오지 않는 다리,,한국,드라마,10.0,1
Being a Traveler,,한국,드라마,8.0,2
달타냥의 모험,,"프랑스, 캐나다, 영국, 체코",어드벤처/시대극,7.0,1
라스트 송,,미국,드라마/로맨스/멜로,7.1,19
블라인드 리벤지,2012-04-19,영국,스릴러,7.5,2
까르틱 콜링 까르틱,2010-02-26,인도,코미디/스릴러,6.5,2
그녀는...,,한국,드라마/스릴러/애니메이션,9.0,1
친구집,,한국,드라마,1.0,1
동쪽의 에덴 극장판 2 : Paradise Lost,,일본,애니메이션/SF/어드벤처,6.2,8
프리스타일,2010-02-26,영국,로맨스/멜로,5.0,2
넓은 세상 속으로,,"불가리아, 독일, 슬로베니아, 헝가리",드라마,8.0,1
"델마, 루이스 에 샹탈",2010-03-03,프랑스,코미디,10.0,1
아메리칸 파이 7 : 사랑의 금서,,미국,코미디,5.7,10
프리 윌리 4,,미국,가족,8.7,3
헤일로 레전드,,"미국, 일본",애니메이션/액션/SF,5.7,9
마린 2,,미국,액션/스릴러,2.3,12
하누만,1998-10-28,"프랑스, 인도",어드벤처/가족,9.0,2
온딘,2010-06-04,"아일랜드, 미국",드라마/로맨스/멜로,7.5,11
전국 : 천하영웅의 시대,2013-05-16,중국,전쟁/시대극,6.2,55
셀 211,2011-11-17,"스페인, 프랑스",액션/스릴러,6.8,34
초능력자,2010-11-10,한국,드라마,6.4,1726
친타,2009-08-19,인도네시아,드라마/로맨스/멜로,3.5,2
공유하는 사랑,2006-03-23,인도네시아,코미디/드라마,7.0,1
1234,2010-03-05,영국,드라마,2.0,1
꽃의 흔적,2010-03-13,일본,시대극,9.2,4
캘리포니아 하이눈,,한국,로맨스/멜로,10.0,1
스위트 리틀 라이즈,2010-03-13,일본,드라마/로맨스/멜로,6.6,5
뜻밖의 응답,,한국,다큐멘터리,6.0,1
퓨리 벤젠스,2010-04-30,"미국, 아랍에미리트",코미디/가족,4.0,7
리브스 오브 그래스,2010-04-02,미국,코미디/범죄/스릴러,5.3,3
이브의 시간,2010-03-06,일본,애니메이션/SF/로맨스/멜로,7.9,37
키롯,2012-05-24,"이스라엘, 프랑스, 미국",액션/드라마,2.9,9
프린세스 프로텍션 프로그램,2009-06-26,미국,코미디/가족,8.4,5
탱고 싱어,,"벨기에, 아르헨티나, 프랑스, 네덜란드",드라마,5.0,1
라운드 업,2013-05-16,프랑스,드라마,7.9,12
샐비지,,영국,공포,8.0,1
발할라 라이징,,"덴마크, 영국",액션/어드벤처,4.9,25
육식 여자,2010-02-13,일본,로맨스/멜로/코미디,10.0,1
성스러운 도시,,미국,다큐멘터리,7.0,1
고대소녀 도그: 축제 스페셜 무비 에디션,2010-02-20,일본,코미디/판타지,6.3,3
올빼미들,,미국,스릴러,4.0,1
SD 건담 삼국전 : 브레이브 배틀 워리어즈,2010-02-27,일본,애니메이션/SF,9.0,2
내 여자친구의 커밍아웃,,캐나다,드라마/로맨스/멜로,6.0,1
뒤에서 앞에서,2010-06-24,일본,성인,6.0,3
파로에서 온 내 친구,,독일,드라마,5.8,4
크리스티의 티셔츠,,미국,코미디/드라마,5.0,1
적과의 동침,2011-04-27,한국,드라마/코미디,7.9,340
고래를 찾는 자전거,2011-09-22,한국,드라마,8.4,43
방콕 러브 스토리,2007-09-15,태국,드라마/로맨스/멜로,8.8,4
츠야코와 료칸의 정사 2,2010-08-12,일본,성인/드라마,9.3,3
녹아내리는 티베트,,캐나다,다큐멘터리,10.0,1
내니맥피 2 : 유모와 마법소동,2010-08-11,"영국, 프랑스, 미국",가족/판타지/어드벤처,8.3,67
페리에스 바운티,2010-03-26,"아일랜드, 영국",코미디/범죄,7.6,5
생크,2010-03-26,영국,액션,3.0,1
소명 2 : 모겐족의 월드컵,2010-04-01,한국,다큐멘터리,9.7,23
정사 - 그녀의 비밀연애,2010-03-22,일본,성인,1.7,3
울음,,한국,다큐멘터리,10.0,1
거울과 시계,,"
                                        11분, 12세이상관람가 
                                    ",한국,7.0,1
빈의 대담한 여자들,,오스트리아,다큐멘터리,6.0,1
선라이즈 선셋,2010-05-13,"러시아, 중국, 인도",다큐멘터리,8.9,21
디센던트,2012-02-16,미국,코미디,7.9,174
물고기 아이,2009-05-06,"아르헨티나, 프랑스, 스페인",로맨스/멜로/스릴러,6.0,1
소스 코드,2011-05-04,"미국, 프랑스",SF/액션,8.6,885
위기의 남자,,한국,애니메이션,7.0,1
세컨드 라이프,,오스트레일리아,드라마,6.0,1
준비된 인생,,한국,드라마,10.0,2
나를 믿어줘,,한국,드라마,10.0,1
경주여행,,한국,드라마,8.7,3
그린치는 어떻게 내 스웨터와 심장을 훔쳤는가!,,캐나다,드라마,4.0,1
이탈,,한국,드라마,5.0,1
첫사랑 열전,2010-05-05,한국,드라마,6.9,9
소와 함께 여행하는 법,2010-11-03,한국,드라마,8.1,80
쟤 믿는 영화,,한국,드라마/로맨스/멜로,6.0,1
노란 봉투,,벨기에,애니메이션,10.0,1
프리큐어 올스타즈 DX(딜럭스)2 희망의 빛☆레인보우 쥬얼리를 지켜라!,2010-03-20,일본,애니메이션/판타지/어드벤처,10.0,1
"잘 자, 좋은 꿈꿔!",,한국,애니메이션,1.0,1
심심한 여자,,한국,드라마,0.0,1
행복한가요?,,한국,다큐멘터리,9.0,2
꽃비,2010-04-01,한국,드라마,6.9,45
굿바이 칠드런,,한국,드라마,6.0,2
하트브레이커,2012-04-19,"프랑스, 모나코",로맨스/멜로,7.3,50
그녀에게,,한국,판타지/스릴러,4.5,2
나의 마음이 너에게 가 닿길,,한국,드라마/로맨스/멜로,10.0,1
방주(方舟),,한국,판타지/애니메이션,2.0,1
"김판수 당선, 그 후",,한국,드라마,10.0,1
두 얼굴의 사나이,,한국,드라마,10.0,1
둥지,,한국,애니메이션,5.0,2
아버지의 노래를 들었네,2003-05-30,한국,드라마,6.0,1
"엄마, 아름다운 오월",,한국,드라마,5.0,1
새,,한국,애니메이션,10.0,1
시간 폭탄,,한국,애니메이션/판타지,5.0,2
안녕하세요 구로배씨?,,한국,애니메이션/코미디/판타지,3.5,2
뱀프스,,미국,코미디/로맨스/멜로/공포,7.5,8
꽃다운,,한국,다큐멘터리,9.0,1
나의 길 위에서,,한국,다큐멘터리,10.0,1
오체투지 다이어리,,한국,다큐멘터리,10.0,3
알라딘 2 : 돌아온 자파,,미국,애니메이션,6.0,3
김종욱 찾기,2010-12-08,한국,로맨스/멜로/코미디,8.1,1005
누군가 내게 키스했다,2010-03-27,일본,로맨스/멜로,5.7,7
마이 프리텐드 와이프,,미국,코미디/로맨스/멜로,7.9,62
다크 미러,,미국,스릴러,5.0,2
국민에 의한 선택 : 버락 오바마의 당선,,미국,다큐멘터리,3.0,1
미얀마 선언,,한국,다큐멘터리,9.0,1
인 데어 슬립,2010-03-24,프랑스,스릴러,5.0,3
더 헌터,2010-05-13,"스페인, 영국",액션/스릴러,4.2,20
렌트 : 브로드웨이 공연,,미국,뮤지컬/드라마,10.0,1
"남자한테 채여서 시코쿠라니, 오핸로, 걷는 젠",,한국,다큐멘터리,9.0,1
월광보합,2010-03-18,"중국, 홍콩",코미디/판타지,5.2,27
악태,2010-03-18,홍콩,공포,7.6,5
챔프,2011-09-07,한국,드라마,8.0,528
반쪽 달이 떠오르는 하늘,2010-04-03,일본,로맨스/멜로,7.0,1
29 팜스,,미국,드라마/스릴러,5.0,2
당신은 몇번째인가요?,,미국,코미디/로맨스/멜로,6.7,30
마마듀크,,미국,코미디/가족,9.0,2
팡토마: 길로틴의 그림자,,프랑스,범죄/드라마,6.7,3
주브 대 팡토마,,프랑스,범죄/드라마,0.0,1
살인용 시체,,프랑스,범죄/드라마,0.0,1
팡토마 대 팡토마,,프랑스,드라마,0.0,1
가짜 판사,,프랑스,드라마,0.0,1
탐정사무소5 : 5 넘버로 불리는 탐정들의 이야기,2005-11-26,일본,액션/코미디/스릴러,10.0,1
파편,2010-04-03,일본,로맨스/멜로/드라마,6.0,1
밀레니엄 : 제2부 불을 가지고 노는 소녀,2012-03-22,"스웨덴, 덴마크, 독일",미스터리/스릴러,7.8,65
밀레니엄 : 제3부 벌집을 발로 찬 소녀,2012-04-05,"스웨덴, 덴마크, 독일",범죄/스릴러,8.4,59
결혼의 풍경,1974-09-15,스웨덴,드라마/로맨스/멜로,8.5,2
토마스와 친구들 - 극장판 2,2010-06-17,"미국, 영국, 캐나다",애니메이션,8.0,11
포르노 홀로코스트,1981-02-09,이탈리아,성인/공포,0.0,1
말레피센트,2014-05-29,미국,판타지,8.0,588
세이 헬로 투 예스터데이,,영국,코미디/드라마,5.0,1
블랙 호크 다운 : 에스케이프,,미국,드라마/전쟁,8.3,7
키스할 것을,,"한국, 미국",드라마,10.0,1
동물적 본능,1992-10-21,미국,스릴러,5.0,2
선배는 어떻게 공부 했어요?,,한국,다큐멘터리,9.0,1
드라이빙 미스 김옥분,,한국,드라마,6.7,3
22블렛,2010-10-14,프랑스,범죄/액션,7.1,109
달링은 외국인,2010-04-10,일본,코미디/로맨스/멜로,6.8,8
앤서 맨,2010-07-24,미국,코미디/로맨스/멜로,7.5,2
더 홀,,노르웨이,액션/공포/코미디,4.3,6
담배 연기 속에 피는 사랑,,홍콩,로맨스/멜로,7.5,6
마이 파더스 게스트,2010-03-31,프랑스,코미디,8.0,1
시설장애인의 역습,,한국,다큐멘터리,10.0,1
Why Not + 메이킹 필름,,한국,드라마,10.0,1
샤인 어 라이트 (1st 지드래곤 콘서트),2010-04-15,한국,다큐멘터리,7.9,39
REC 알이씨,2011-11-24,한국,드라마,8.0,40
바다,2011-09-01,한국,드라마,7.5,16
변신,,한국,드라마,4.0,2
런던유학생 리차드,,한국,드라마,9.7,3
수학여행,,한국,드라마,9.2,4
조아생 가티,,프랑스,다큐멘터리,10.0,1
"1,000만",,한국,스릴러,10.0,1
소고기를 좋아하세요?,,한국,판타지/공포,6.0,6
허기,,한국,판타지,9.0,1
트리플 프런티어,,미국,액션/어드벤처/범죄/스릴러/드라마,5.9,72
반다의 방,,"포르투갈, 독일, 스위스, 이탈리아",다큐멘터리/드라마,10.0,1
바람난 아내,2010-04-09,일본,성인,6.0,1
드림 보이,,미국,드라마/로맨스/멜로,10.0,1
To,,일본,애니메이션/SF/액션,5.0,2
다니엘 앤 안나,2010-03-31,"멕시코, 스페인",드라마/스릴러,10.0,1
가시나무왕,2012-06-28,일본,애니메이션/스릴러/액션,6.5,55
파수꾼,2011-03-03,한국,드라마,8.5,644
이층의 악당,2010-11-24,한국,코미디/스릴러,8.1,623
사와코 결심하다!,2010-05-01,일본,드라마,7.8,4
히어 앤 데어,2011-12-15,"세르비아, 미국, 독일",로맨스/멜로,8.0,1
손님1 첫번째 이야기,2011-11-17,한국,공포/스릴러,4.9,15
명탐정 코난 : 천공의 난파선,2010-07-21,일본,애니메이션/미스터리/스릴러,9.1,468
세머테리 정션,,영국,코미디/드라마,8.4,7
유괴 랩소디,2010-04-03,일본,범죄,10.0,1
스콧 필그림,,"미국, 영국, 캐나다",액션/코미디/판타지,6.6,47
솔리터리 맨,,미국,코미디/로맨스/멜로,8.2,5
미려밀령,2010-04-01,홍콩,코미디,7.0,1
화룡대결,2014-01-09,홍콩,액션/스릴러,6.8,21
태양의 아이,,필리핀,드라마,4.0,1
토토,,오스트리아,다큐멘터리,7.5,2
인간 지네,,네덜란드,공포/스릴러,3.0,74
짱구는 못말려 극장판 : 초시공! 태풍을 부르는 나의 신부,2011-05-05,일본,애니메이션/코미디/가족,9.1,130
레터스 투 갓,2016-02-25,미국,드라마/가족,8.2,20
스퀘어,2008-07-31,오스트레일리아,드라마/스릴러,7.0,4
아버지를 마지막으로 본 것은 언제입니까?,2010-05-27,"영국, 아일랜드",드라마,7.6,29
프라이트 나이트,,"영국, 미국",코미디/공포,6.5,65
미래경찰 X,2012-12-25,홍콩,SF/액션/드라마,3.6,36
육체와 악마,1926-12-25,미국,로맨스/멜로/드라마,0.0,1
일요일의 사람들,,독일,다큐멘터리/코미디/로맨스/멜로,2.5,2
다크 아워,2012-01-05,미국,SF/액션,5.0,185
뉴 미션 오브 쥐덱스,1918-01-28,프랑스,어드벤처,8.0,1
인트루더스,,"미국, 영국, 스페인",공포/스릴러,4.9,10
레비아탄,2009-06-02,미국,공포/스릴러,0.0,1
인간 지네 2,2011-10-07,"네덜란드, 영국, 미국",공포,4.7,45
그리즐리 파크,2008-02-07,미국,공포,5.5,2
프리랜서,,한국,드라마,9.0,1
데브리스,,한국,드라마,5.0,2
브레이킹 업워즈,,미국,로맨스/멜로,9.0,1
쌉쌀한 꿀 : 사라진 레코드,2010-04-10,일본,미스터리/드라마,1.0,1
블랑섹의 기이한 모험,2013-02-07,프랑스,어드벤처/판타지,6.7,39
완전범죄 프로젝트,2013-12-18,미국,액션/범죄,7.7,74
파스샬라,2010-04-16,인도,드라마/가족,6.0,1
수상한 가족,2013-08-28,미국,코미디/드라마,8.1,35
떨꺼둥이,,한국,드라마,7.0,1
핑거프린트,2010-04-29,미국,공포/미스터리/스릴러,6.5,6
왠 유어 스트레인지,2010-12-23,미국,다큐멘터리,8.2,5
애프터 라이프,2010-09-02,미국,미스터리,6.1,203
극장판 은혼 신역홍앵편,2010-04-24,일본,애니메이션/시대극/코미디/SF,8.9,16
인류가 사라진 세상,,"미국, 캐나다",다큐멘터리/SF,5.0,2
맨헌트,2008-01-04,노르웨이,공포/스릴러,10.0,2
총통님 나의 총통님,,독일,코미디/전쟁/드라마,0.0,1
퍼킨스 14,,미국,공포/스릴러,0.0,1
퍼펙트 게임,,미국,가족/드라마,8.1,11
시티 오브 유어 파이널 데스티네이션,2010-04-16,미국,드라마,10.0,1
더 그루팔로,,영국,애니메이션/가족,10.0,1
무법자,,"프랑스, 알제리, 벨기에",액션/드라마,10.0,1
비우티풀,2011-10-13,"멕시코, 스페인",드라마,8.0,67
사랑을 카피하다,2011-05-05,"프랑스, 이탈리아, 이란",미스터리/로맨스/멜로,7.8,33
페어게임,2010-11-05,"미국, 아랍에미리트",액션/스릴러,7.6,38
살인 이론,2012-12-06,미국,공포/스릴러,5.4,24
세상의 모든 계절,2011-03-24,영국,드라마,8.2,65
절규하는 남자,,"프랑스, 벨기에, 차드",드라마,8.0,1
안젤리카의 이상한 사건,,"포르투갈, 스페인, 프랑스, 브라질",드라마/판타지,3.0,1
하트비트,2010-11-25,캐나다,로맨스/멜로/드라마,8.1,46
맥전,2009-09-28,중국,드라마/시대극,4.5,6
중경 블루스,,중국,드라마,6.0,1
러프 나잇 인 제리코,,미국,로맨스/멜로/서부,9.0,1
캐빈 피버 2: 스프링 피버,,미국,공포/스릴러,6.0,7
시몬 베르너 실종사건,2010-09-22,프랑스,미스터리/스릴러,8.0,1
즈베즈다,,러시아,액션/전쟁,8.1,11
필름 소셜리즘,2013-03-28,"스위스, 프랑스",드라마,9.0,2
샐러맨더,2010-04-21,"프랑스, 아르헨티나, 독일",드라마/코미디,3.5,2
신과 인간,2012-01-19,프랑스,드라마,7.9,38
타마라 드류,2010-09-10,영국,코미디,9.0,2
인사이드 잡,2011-05-19,미국,다큐멘터리,9.1,91
히든,2009-04-03,노르웨이,공포,4.0,2
더 리즈,,영국,공포/스릴러,5.0,1
무사도 식스틴,2010-04-24,일본,드라마,6.0,3
위선의 태양 2,2010-04-18,"독일, 프랑스, 러시아",드라마,0.0,1
엉클 분미,2014-02-13,"태국, 영국, 프랑스, 독일, 스페인, 네덜란드",드라마,6.9,29
미친 과실,,일본,드라마,9.0,1
미친 과실,1981-04-24,일본,성인,1.0,1
에밀리아 부인의 연정,1991-11-16,네덜란드,스릴러/드라마/성인,4.8,4
고고한 메스,2010-06-05,일본,드라마,9.1,7
트라이건 : 배드랜즈 럼블,,일본,애니메이션/SF/액션,7.7,11
암페타민,2010-04-08,홍콩,드라마,8.5,10
원스 어 갱스터,,홍콩,액션/코미디/범죄,6.5,2
선데이 인 뉴욕,1963-11-13,미국,코미디/로맨스/멜로,8.5,2
성 안에 갇힌 사랑,,영국,드라마/로맨스/멜로,4.7,3
하이브,,미국,SF,4.2,5
초신,,미국,다큐멘터리,3.0,1
로한의 비상,2010-07-16,인도,드라마,9.0,1
채트룸,,영국,드라마/스릴러,2.5,8
오로라,,"루마니아, 프랑스, 스위스, 독일",드라마,0.5,2
더 테이크,,미국,범죄/드라마,5.0,1
카붐,2010-10-06,"미국, 프랑스",코미디/공포/SF,5.5,6
블랙 헤븐,2011-10-10,"프랑스, 벨기에",스릴러,6.7,20
바보,2010-12-18,일본,드라마/로맨스/멜로,7.6,9
아나콘다 4 : 피의 제전,,"루마니아, 미국",액션/공포,4.8,12
베이비 : 리얼 다큐 스토리,,프랑스,다큐멘터리,10.0,3
저스트 라이트,,미국,코미디/로맨스/멜로,7.9,18
디너게임,,미국,코미디,5.6,19
라모나 & 비저스,,미국,코미디/가족/판타지,8.2,31
겟 로우,,"미국, 독일, 폴란드",범죄/드라마,8.0,3
톰 소여,,미국,어드벤처/뮤지컬/가족,6.5,2
바비의 인어공주 이야기,,미국,애니메이션/가족,7.2,5
샹트라파,2010-09-22,프랑스,다큐멘터리,6.0,2
새벽의 기수,,미국,서부,7.0,1
황야의 바람,,미국,서부,10.0,1
우리강산 차차차,1971-09-18,한국,코미디,7.0,2
앨리스 크리드의 실종,,영국,스릴러,7.3,20
머털도사와 또매,,한국,애니메이션/액션/코미디,6.6,7
스트리트 댄스,2010-06-16,영국,로맨스/멜로/드라마,8.2,91
온 호스타일 그라운드,,"캐나다, 미국",액션/어드벤처,10.0,1
허클베리 핀,,미국,어드벤처/가족/뮤지컬,5.0,1
미스터좀비,2010-08-26,한국,코미디/공포,7.5,32
스테이 쿨,,미국,코미디/드라마,5.0,1
부끄러움,2010-04-29,일본,성인/드라마,8.2,4
톰 소여,1930-12-19,미국,어드벤처,9.0,1
톰 소여의 모험,,미국,가족/어드벤처,8.0,3
톰 소여,1917-12-02,미국,어드벤처/코미디,9.0,1
목욕탕에 그녀가 있다,2010-04-22,일본,성인/드라마,6.2,8
더 라스트 워드,,미국,드라마/로맨스/멜로,9.0,3
"웰컴 홈, 록시 카마이클",,"영국, 미국",드라마/코미디,0.0,1
마이 러브송,2015-05-28,"미국, 프랑스",코미디/드라마,8.8,6
이소룡의 생과 사,1973-10-14,홍콩,다큐멘터리,1.0,1
네버 다이 얼론,2004-03-26,미국,액션/범죄,6.0,1
인 마이 슬립,2011-07-28,미국,드라마/스릴러,7.2,17
천녀유혼,2011-05-12,중국,SF/판타지/로맨스/멜로,6.3,277
페이퍼맨,2014-05-01,미국,코미디/드라마,7.3,9
마마 앤드 파파,2010-05-27,한국,가족/드라마,9.4,31
제브라맨 2,,일본,액션/SF,5.2,6
스케이트 보드,,미국,액션/미스터리,7.0,1
십계,,미국,애니메이션/가족,9.6,5
콜럼버스 데이,2008-00-00,미국,범죄/스릴러,5.0,1
제2의 성,1989-02-19,한국,로맨스/멜로,9.0,1
청춘묘지 : 내일과 함께 걷는다,,일본,드라마,7.0,1
사춘기 올챙이,,일본,드라마,9.0,1
홀 인 더 월,1929-04-27,미국,드라마/미스터리,2.0,1
트릭 3 : 극장판 트릭 영능력자 배틀로얄,,일본,코미디/미스터리,7.6,12
레고 : 클러치 파워의 모험,2010-06-10,미국,애니메이션/액션/어드벤처,7.4,17
더 트리,2012-09-13,"프랑스, 오스트레일리아",드라마,7.0,14
고기에 대한 불편한 진실,,네덜란드,다큐멘터리,8.7,3
테이커스,,미국,액션/범죄/스릴러,7.1,66
라스트 엑소시즘,2010-12-01,미국,공포/스릴러,6.3,187
워리어,2011-11-02,미국,액션/드라마,8.6,150
프랑켄슈타인 프로젝트,,헝가리,드라마,6.0,1
야지마 미용실 더 무비 : 꿈을 이루는 네바다,2010-04-29,일본,코미디,5.0,3
상해전기,2014-11-07,중국,다큐멘터리,6.8,4
카란초,,"아르헨티나, 칠레, 프랑스, 한국",범죄/드라마/로맨스/멜로/스릴러,8.5,2
가을이야기,,한국,드라마,9.4,7
"먹는 개, 귀동이",,한국,다큐멘터리,10.0,1
마샤와 곰 - 겨울잠,,러시아,애니메이션,5.0,2
노 임팩트 맨,2010-06-17,미국,다큐멘터리,8.7,6
북극곰의 눈물,,한국,애니메이션,5.5,2
하우스 풀,2010-04-30,인도,코미디,6.3,3
카운테스 프럼 홍콩,1967-03-15,"영국, 미국",코미디/로맨스/멜로,6.3,3
러브 앤 프렌즈,2011-06-16,미국,코미디/판타지/로맨스/멜로,7.5,106
이소룡 일대기 생과 사,1985-04-13,홍콩,다큐멘터리,10.0,2
춤추는 대수사선 3,2010-07-03,일본,드라마/액션,5.6,19
라무네,2010-05-29,일본,로맨스/멜로,4.0,5
러브송,,일본,드라마,10.0,1
쿠로네즈미,2010-06-11,일본,액션,3.0,1
행복의 노란 손수건,1977-10-01,일본,드라마/로맨스/멜로,5.0,4
카를로스,,"프랑스, 독일",범죄/스릴러,8.4,7
헬로우 고스트,2010-12-22,한국,코미디,8.5,1550
가족계획,,한국,드라마,8.0,1
이공계소년,,한국,드라마,7.0,1
후에버 유 아,,한국,드라마,7.0,2
꽃님이,,한국,드라마,8.0,1
발키리 대작전,,독일,드라마/전쟁,6.0,4
루트 아이리쉬,,"영국, 프랑스, 이탈리아, 벨기에, 스페인",액션/스릴러/전쟁/드라마,7.0,5
서태지 밴드 라이브투어 더 뫼비우스,2010-05-21,한국,다큐멘터리,9.6,63
포르노그래퍼,2001-10-03,"프랑스, 캐나다",드라마,8.0,2
축복의 입맞춤,,"독일, 싱가폴",애니메이션/코미디/가족,10.0,1
혹서,,루마니아,드라마,10.0,1
사과,,한국,드라마,10.0,1
가업,,한국,드라마,10.0,2
삼거리 비디오,,한국,다큐멘터리,10.0,5
아메리칸: 더 빌 힉스 스토리,2010-05-14,영국,다큐멘터리,8.0,1
고스트 : 보이지 않는 사랑,2010-11-25,일본,로맨스/멜로/판타지,6.4,62
나폴라,2013-08-15,독일,드라마/전쟁,7.8,27
코르작,1990-05-06,"폴란드, 독일, 영국",드라마,10.0,3
트릭 극장판,2002-11-09,일본,코미디/미스터리,6.8,4
배드마쉬 컴퍼니,2010-05-07,인도,범죄/스릴러,7.2,18
돌아온 황야의 7인,,"미국, 스페인",서부,7.5,2
필그림,1923-02-26,미국,코미디,6.0,4
봉급날,1922-04-02,미국,코미디,5.0,2
유한계급,1921-09-25,미국,코미디,7.0,4
프로페서,,미국,코미디,6.0,1
양지 바른 쪽,1919-06-15,미국,코미디,6.5,4
하루의 행락,1919-12-15,미국,코미디,0.0,1
대홍수,1933-08-18,미국,드라마,9.0,1
바람이 나를 데려다 주리라,,대만,다큐멘터리,9.0,1
문학소녀,2010-05-01,일본,애니메이션/미스터리,3.8,4
연애 소설 읽는 노인,,"네덜란드, 프랑스, 스페인, 오스트레일리아",어드벤처/드라마,10.0,2
똥이 어디로 갔을까,,한국,애니메이션,9.0,1
밥묵자,,한국,애니메이션/가족,6.0,1
드림홈,2010-05-13,홍콩,공포,4.9,28
아웃소시드,,미국,코미디/드라마/로맨스/멜로,8.0,1
셧다운,,영국,다큐멘터리,10.0,1
런던 블러바드,2013-01-03,"미국, 영국",범죄/드라마,5.9,59
모두들 하고 있습니까?,,한국,드라마,8.0,1
브로,,영국,드라마,10.0,1
더 울버린,2013-07-25,미국,액션/SF,4.2,724
프롬 비기닝 투 엔드,2009-11-27,브라질,드라마/로맨스/멜로,7.4,5
더 플랜,2009-10-27,미국,액션/어드벤처/SF,7.9,10
악마의 변종,,미국,공포,6.0,1
벤다 빌릴리!,2013-10-17,"콩고 민주 공화국, 프랑스",다큐멘터리,9.4,7
바츠나 애 하시노,2008-08-15,인도,코미디/로맨스/멜로,7.3,4
크로커다일의 모험,2009-03-26,독일,가족,10.0,1
용산 남일당 이야기,,한국,다큐멘터리,10.0,1
러브 액츄얼리 인 베를린,2009-10-08,독일,코미디,8.0,1
어깨 총,1918-10-20,미국,코미디/전쟁,6.3,3
트리플 트러블,1918-08-11,미국,코미디,4.0,2
모험,1917-10-22,미국,코미디,8.2,4
치유,1917-04-16,미국,코미디,6.5,2
자립 재정,1917-01-22,미국,코미디,5.0,1
이민자,1917-06-17,미국,코미디/로맨스/멜로,7.2,4
링크,1916-11-04,미국,코미디,3.0,2
카이츠,2013-10-24,인도,액션/로맨스/멜로,8.6,34
친구와 연인사이,2011-02-10,미국,코미디/로맨스/멜로,7.0,134
가브리엘,,오스트레일리아,액션/판타지/공포,8.8,6
더 클리닉,2012-07-25,오스트레일리아,공포/스릴러,6.7,31
일요일 밤과 월요일 아침,,한국,로맨스/멜로,6.5,2
베리드,2010-12-08,"스페인, 미국, 프랑스",스릴러,7.1,328
알파 앤 오메가,2011-02-24,"미국, 인도",애니메이션/어드벤처/코미디,7.5,47
소셜 네트워크,2010-11-18,미국,드라마,7.5,397
잭애스3D,2011-04-14,미국,다큐멘터리/액션/코미디,6.9,26
커플로 살아남기,,미국,코미디/드라마,7.9,50
램페이지-더 테러리스트,2014-07-10,"캐나다, 독일",액션/범죄,6.4,88
카르고,2013-09-12,스위스,SF,6.4,29
애련의 퀴니,,미국,드라마,7.5,4
젊은 베르테르의 슬픔,,동독,드라마,6.7,3
달과 6펜스,,미국,드라마,9.0,1
설국,,일본,드라마,5.4,5
쩨쩨한 로맨스,2010-12-01,한국,로맨스/멜로,8.2,994
자랑과 정열,,미국,액션/드라마/어드벤처,9.0,2
스타스트럭,,미국,뮤지컬,7.0,3
쏘우 3D,2010-11-18,"캐나다, 미국",공포,6.7,120
파라노말 액티비티 2,2010-10-21,미국,공포,5.8,140
메가마인드,2011-01-13,미국,애니메이션/코미디/가족,8.5,377
복수자,,미국,액션/범죄/스릴러/드라마,6.1,51
에브리씽 유브 갓 하우 두 유 노우,,미국,코미디/로맨스/멜로,6.1,17
더 브레이브,2011-02-24,미국,어드벤처/드라마/서부,7.9,141
웨스트브릭 머더스,2010-05-11,"덴마크, 영국, 미국",액션/범죄/스릴러,2.3,6
돈키호테를 죽인 사나이,2019-05-23,"스페인, 벨기에, 포르투갈, 영국",드라마,7.2,17
컨테이젼,2011-09-22,미국,액션/SF/스릴러,7.5,615
미드나잇 인 파리,2016-10-20,"미국, 스페인",코미디/판타지/로맨스/멜로,8.1,529
온 더 로드,2014-03-27,미국,어드벤처/드라마,7.0,23
개의 삶,1918-04-14,미국,코미디,7.7,9
계산,1916-09-04,미국,코미디,7.0,1
방랑자,1916-07-10,미국,코미디,7.5,2
소방수,1916-06-12,미국,코미디,5.0,1
무대 뒤에서,1916-11-13,미국,코미디,2.5,2
전당포,1916-10-02,미국,코미디,5.0,1
오전 한 시,1916-08-07,미국,코미디/가족,6.0,2
경찰,1916-05-27,미국,코미디,6.5,2
백화점 주인,1916-05-15,미국,코미디,2.5,2
히스 리제너레이션,1915-05-07,미국,서부,6.5,2
엽문 3,2011-04-21,홍콩,액션,5.2,83
나탈리,2010-10-28,한국,로맨스/멜로,5.6,377
복스!,2010-05-22,일본,드라마,8.5,4
세일즈맨의 죽음,,미국,드라마,7.0,3
마크 오브 케인,,영국,드라마/전쟁,7.0,1
바니나 바니니,,"이탈리아, 프랑스",드라마,6.0,2
에일리언 아포칼립스,2012-10-31,미국,SF/액션,1.0,1
라라에게,,한국,드라마,5.5,2
아버지의 이름으로,,한국,드라마,8.0,1
립 이어 : 자학의 성,2017-09-28,멕시코,드라마/로맨스/멜로,10.0,2
삼총사3D,2011-10-12,"독일, 프랑스, 영국, 미국",액션/어드벤처,6.9,211
Secret Garden,,한국,드라마,8.5,2
