제목,개봉일,국가,장르,별점,네티즌수
매그놀리아,2000-04-15,미국,드라마,8.1,72
극속전설,2000-04-15,홍콩,액션,6.0,2
분닥 세인트,2000-04-15,"캐나다, 미국",코미디,7.4,42
킬리만자로,2000-05-20,한국,액션,7.4,45
고스트 독,2000-04-22,"독일, 프랑스, 일본, 미국",액션,7.9,9
갤럭시 퀘스트,2000-04-29,미국,SF,8.4,18
쌍생아,2000-04-22,일본,공포/시대극,6.3,3
심동,2000-05-13,홍콩,로맨스/멜로,9.5,18
섬,2000-04-22,한국,드라마,5.2,111
스크림 3,2000-04-29,미국,코미디/공포,7.3,19
섹스 - 애나벨 청 스토리,2000-04-29,미국,다큐멘터리,6.6,5
애수,2000-04-22,"영국, 미국",로맨스/멜로/전쟁,7.3,18
쉘 위 댄스,2000-05-13,일본,코미디/드라마,8.9,68
사랑을 위하여,2000-05-05,미국,로맨스/멜로/드라마,8.7,26
미션 투 마스,2000-05-04,미국,SF/스릴러,7.8,91
바스켓볼 다이어리,2000-04-29,미국,액션,8.1,28
로미오 머스트 다이,2000-04-29,미국,액션/스릴러,5.6,16
실제상황,2000-06-24,한국,드라마,6.9,18
아나키스트,2000-04-29,한국,액션/드라마,7.5,46
투맨,1996-06-15,한국,액션,5.7,3
돼지가 우물에 빠진 날,1996-05-15,한국,드라마,6.8,58
시간은 오래 지속된다,1997-03-22,한국,드라마,4.0,1
유리,1996-06-06,한국,드라마,6.7,7
종합병원 The Movie 천일동안,2000-03-04,한국,드라마,5.5,2
산책,2000-03-11,한국,드라마,7.6,33
아름다운 사람들,2000-05-27,영국,코미디,10.0,1
정글 스토리,1996-05-18,한국,드라마,8.3,12
구멍,2000-03-04,한국,미스터리,5.7,3
신혼여행,2000-03-11,한국,미스터리,4.0,9
진실게임,2000-03-18,한국,스릴러,6.9,18
낮은 목소리 3 - 숨결,2000-03-18,한국,다큐멘터리/드라마,7.8,4
개같은 날의 오후,1995-09-08,한국,코미디,7.5,33
축제,1996-06-06,한국,드라마,8.8,60
네온 속으로 노을지다,1995-02-05,한국,로맨스/멜로/드라마,9.3,3
코르셋,1996-06-08,한국,코미디/로맨스/멜로,7.5,10
도둑과 시인,1995-09-08,한국,액션,10.0,2
닥터 봉,1995-04-29,한국,코미디/로맨스/멜로,6.5,15
피아노 맨,1996-05-24,한국,스릴러,5.8,12
돌아온 영웅 홍길동,1995-12-24,한국,무협/애니메이션/드라마,7.4,21
1996 뽕,1996-03-23,한국,성인/드라마,6.0,3
런 어웨이,1995-12-30,한국,액션,7.2,13
꽃잎,1996-04-05,한국,드라마,8.4,80
무궁화꽃이 피었습니다,1995-05-20,한국,미스터리,5.9,25
나에게 오라,1996-03-23,한국,액션,8.2,66
진짜 사나이,1996-04-04,한국,코미디,8.5,27
사랑하기 좋은 날,1995-01-14,한국,드라마,8.8,4
아름다운 청년 전태일,1995-11-18,한국,드라마,8.7,40
충무로 돈키호테,1996-03-30,한국,액션/시대극/드라마,7.6,5
아찌 아빠,1995-09-08,한국,코미디,5.6,10
카루나,1996-03-16,한국,전쟁/드라마,0.0,2
영원한 제국,1995-01-28,한국,미스터리/시대극,7.1,31
학생부군신위,1996-03-01,한국,코미디/드라마,7.7,28
테러리스트,1995-05-13,한국,액션/드라마,7.5,64
파워킹,1995-07-00,한국,액션/SF,0.0,2
해병묵시록,1995-06-17,한국,액션,5.8,4
